president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Donald Trump,All polls,1/28/2020,1/20/2017,1/22/2017,Gallup,B,1500,a,0.24168201,0,45,45,45.826799,43.488944,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49253,77265,1/23/2017,1/28/2020 9:35
Donald Trump,All polls,1/28/2020,1/20/2017,1/22/2017,Morning Consult,B/C,1992,rv,0.69698373,0,46,37,44.541463,38.450673,,,http://static.politico.com/9b/13/82a3baf542ae9018e5b6e1008379/170103-topline-politico-v3-kd.pdf,49249,77261,1/23/2017,1/28/2020 9:35
Donald Trump,All polls,1/28/2020,1/21/2017,1/23/2017,Gallup,B,1500,a,0.22323372,0,45,46,45.826799,44.488944,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49262,77274,1/24/2017,1/28/2020 9:35
Donald Trump,All polls,1/28/2020,1/20/2017,1/24/2017,Ipsos,B-,1632,a,0.15078547,0,42.1,45.2,42.793863,44.079252,,T,http://polling.reuters.com/#poll/CP3_2/,49426,77599,3/1/2017,1/28/2020 9:35
Donald Trump,All polls,1/28/2020,1/20/2017,1/25/2017,Quinnipiac University,B+,1190,rv,1.4944941,0,36,44,37.582281,42.841783,,,https://poll.qu.edu/national/release-detail?ReleaseID=2415,49260,77272,1/26/2017,1/28/2020 9:35
Donald Trump,All polls,1/28/2020,1/22/2017,1/24/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.20033478,0,57,43,51.099801,44.629785,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49266,77278,1/25/2017,1/28/2020 9:35
Donald Trump,All polls,1/28/2020,1/21/2017,1/25/2017,Ipsos,B-,1651,a,0.13896677,0,42.3,45.8,42.993863,44.679252,,T,http://polling.reuters.com/#poll/CP3_2/,49425,77598,3/1/2017,1/28/2020 9:35
Donald Trump,All polls,1/28/2020,1/22/2017,1/24/2017,Gallup,B,1500,a,0.20865899,0,46,45,46.826799,43.488944,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49236,77248,1/25/2017,1/28/2020 9:35
Donald Trump,All polls,1/28/2020,1/23/2017,1/25/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.18577234,0,59,41,53.099801,42.629785,,T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49247,77259,1/26/2017,1/28/2020 9:35
Donald Trump,All polls,1/28/2020,1/23/2017,1/25/2017,YouGov,B-,2692,a,1.2430124,0,41,35,41.735624,37.425433,,,http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/31rwbl7mh1/econToplines.pdf,49254,77266,1/26/2017,1/28/2020 9:35
Donald Trump,All polls,1/28/2020,1/22/2017,1/26/2017,Ipsos,B-,1678,a,0.1304198,0,42.6,46.4,43.293863,45.279252,,T,http://polling.reuters.com/#poll/CP3_2/,49424,77597,3/1/2017,1/28/2020 9:35
Donald Trump,All polls,1/28/2020,1/23/2017,1/24/2017,Public Policy Polling,B,1043,rv,1.0546733,0,44,44,43.378181,44.334042,,,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_12617.pdf,49237,77249,1/25/2017,1/28/2020 9:35
Donald Trump,All polls,1/28/2020,1/23/2017,1/25/2017,Gallup,B,1500,a,0.19692123,0,46,45,46.826799,43.488944,,T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49245,77257,1/26/2017,1/28/2020 9:35
Donald Trump,All polls,1/28/2020,1/23/2017,1/27/2017,Ipsos,B-,1712,a,0.12417525,0,44.5,45.5,45.193863,44.379252,,T,http://polling.reuters.com/#poll/CP3_2/,49423,77596,3/1/2017,1/28/2020 9:35
